"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","166","166","166"
"24576","151","151","151"
"36864","109","109","109"
"49152","89","89","89"
"61440","59","59","59"
"73728","40","40","40"
"86016","32","32","32"
"98304","13","13","13"
"110592","22","22","22"
"122880","6","6","6"
"135168","8","8","8"
"147456","7","7","7"
"159744","6","6","6"
"172032","8","8","8"
"184320","4","4","4"
"196608","1","1","1"
"208896","2","2","2"
"221184","4","4","4"
"233472","3","3","3"
"245760","5","5","5"
"258048","2","2","2"
"270336","1","1","1"
"282624","1","1","1"
"294912","2","2","2"
"307200","0","0","0"
"319488","0","0","0"
"331776","2","2","2"
"344064","0","0","0"
"356352","0","0","0"
"368640","0","0","0"
"380928","0","0","0"
"393216","1","1","1"
"405504","1","1","1"
"417792","0","0","0"
"430080","0","0","0"
"442368","0","0","0"
"454656","0","0","0"
"466944","0","0","0"
"479232","0","0","0"
"491520","0","0","0"
"503808","1","1","1"
"516096","0","0","0"
"528384","0","0","0"
"540672","0","0","0"
"552960","0","0","0"
"565248","0","0","0"
"577536","0","0","0"
"589824","0","0","0"
"602112","0","0","0"
"614400","0","0","0"
"626688","1","1","1"
"638976","0","0","0"
"651264","0","0","0"
"663552","0","0","0"
"675840","0","0","0"
"688128","0","0","0"
"700416","0","0","0"
"712704","0","0","0"
"724992","0","0","0"
"737280","1","1","1"
"749568","0","0","0"
"761856","0","0","0"
"774144","0","0","0"
"786432","0","0","0"
"798720","0","0","0"
"811008","0","0","0"
"823296","0","0","0"
"835584","0","0","0"
"847872","0","0","0"
"860160","0","0","0"
"872448","0","0","0"
"884736","0","0","0"
"897024","0","0","0"
"909312","1","1","1"
"921600","0","0","0"
"933888","0","0","0"
"946176","0","0","0"
"958464","0","0","0"
"970752","0","0","0"
"983040","0","0","0"
"995328","0","0","0"
"1007616","0","0","0"
"1019904","0","0","0"
"1032192","0","0","0"
"1044480","0","0","0"
"1056768","0","0","0"
"1069056","0","0","0"
"1081344","0","0","0"
"1093632","1","1","1"
"1105920","0","0","0"
"1118208","0","0","0"
"1130496","0","0","0"
"1142784","0","0","0"
"1155072","0","0","0"
"1167360","0","0","0"
"1179648","0","0","0"
"1191936","0","0","0"
"1204224","0","0","0"
"1216512","0","0","0"
"1228800","0","0","0"
"1241088","0","0","0"
"1253376","0","0","0"
"1265664","0","0","0"
"1277952","0","0","0"
"1290240","0","0","0"
"1302528","0","0","0"
"1314816","0","0","0"
"1327104","0","0","0"
"1339392","0","0","0"
"1351680","0","0","0"
"1363968","0","0","0"
"1376256","0","0","0"
"1388544","0","0","0"
"1400832","0","0","0"
"1413120","0","0","0"
"1425408","0","0","0"
"1437696","0","0","0"
"1449984","0","0","0"
"1462272","0","0","0"
"1474560","0","0","0"
"1486848","0","0","0"
"1499136","0","0","0"
"1511424","0","0","0"
